course_field,course_code
Creative Arts,301201
Creative Arts,301215
Creative Arts,301223
Education,187485
Education,187100
Education,189100
Education,197100
Education,187032
Education,729017
Education,729018
Education,729019
Education,729022
Education,729023
Education,729024
Education,728994
Education,728995
Education,728996
Education,720108
Education,720109
Education,720110
Education,729000
Education,729004
Education,729005
Education,720114
Education,720115
Education,720116
Education,729011
Education,729014
Education,729016
Education,302440
Education,302445
Education,729050
Education,729051
Education,729052
Education,600065
Education,600064
Education,302446
Education,422120
Education,600060
Education,600061
Education,600062
Education,364103
Education,187031
Education,188031
Education,331112
Education,331169
Education,101120
Education,101121
Education,600066
Education,422130
Education,283226
Education,101113
Education,101114
Education,101115
Education,101129
Education,396753
Education,396757
Education,484750
Education,484760
Education,213091
Education,213094
Education,213097
Education,513240
Education,729029
Education,331116
Education,331172
Education,331182
Education,513245
Education,396752
Education,396758
Education,213160
Education,213161
Education,213164
Education,213167
Education,396760
Education,396763
Education,101200
Education,101202
Education,101210
Education,101211
Education,101212
Education,101000
Education,101100
Education,101101
Education,101102
Education,513250
Education,729027
Education,484800
Education,484810
Education,187430
Education,189985
Education,331115
Education,331171
Education,331181
Education,729032
Education,331118
Education,331173
Education,331183
Education,101220
Education,101222
Education,396693
Education,396694
Education,396695
Education,396696
Education,101230
Education,101232
Education,101233
Education,513266
Education,484860
Education,484870
Education,187431
Education,189990
Education,331119
Education,331174
Education,331184
Education,101240
Education,101116
Education,101108
Education,101104
Education,101107
Education,213204
Education,331120
Education,331175
Education,331185
Education,755113
Education,755111
Education,751289
Education,751291
Education,590290
Education,590300
Education,590304
Education,590310
Education,187432
Education,189980
Education,188034
Education,513267
Education,101124
Education,101125
Education,101126
Education,101127
Education,396759
Education,755101
Education,729034
Education,755102
Education,187482
Education,650190
Education,364003
Education,755112
Education,650210
Education,364023
Education,364033
Education,364024
Education,751290
Education,753225
Education,302448
Education,755103
Education,751288
Education,600050
Education,600052
Education,600053
Education,650220
Education,364044
Education,364053
Education,364063
Education,396761
Education,396762
Education,300423
Education,300424
Education,600063
Education,591120
Education,183012
Education,729604
Education,729600
Education,729601
Education,729602
Education,729603
Education,729395
Education,729393
Education,729401
Education,729394
Education,729402
Education,489825
Education,489826
Education,333011
Education,333061
Education,283233
Education,187081
Education,188081
Education,193081
Education,198081
Education,213021
Education,213024
Education,213027
Education,360050
Education,489805
Education,489806
Education,593052
Education,593062
Engineering and related Studies,160913
Engineering and related Studies,160301
Engineering and related Studies,334302
Engineering and related Studies,334362
Engineering and related Studies,592060
Engineering and related Studies,592070
Engineering and related Studies,592080
Engineering and related Studies,425950
Engineering and related Studies,590150
Engineering and related Studies,590160
Engineering and related Studies,482707
Engineering and related Studies,302580
Engineering and related Studies,160914
Engineering and related Studies,482600
Engineering and related Studies,482610
Engineering and related Studies,187490
Engineering and related Studies,197490
Engineering and related Studies,302581
Engineering and related Studies,482630
Engineering and related Studies,489791
Engineering and related Studies,489792
Engineering and related Studies,489793
Engineering and related Studies,482640
Engineering and related Studies,212257
Engineering and related Studies,283442
Engineering and related Studies,365016
Engineering and related Studies,135004
Engineering and related Studies,160341
Engineering and related Studies,722498
Engineering and related Studies,722501
Engineering and related Studies,722555
Engineering and related Studies,722561
Engineering and related Studies,722592
Engineering and related Studies,722579
Engineering and related Studies,450040
Engineering and related Studies,451040
Engineering and related Studies,425050
Engineering and related Studies,755609
Engineering and related Studies,425770
Engineering and related Studies,755610
Engineering and related Studies,425550
Engineering and related Studies,160344
Engineering and related Studies,160342
